"Date";"Significant height (cm)";"Significant period (sec)";"EN (22+ cm2)";"EN (20 cm2)";"EN (17 cm2)";"EN (15 cm2)";"EN (13 cm2)";"EN (11 cm2)";"EN (9 cm2)";"EN (7 cm2)";"EN (5 cm2)";"EN (3 cm2)"
"2016-07-31 04:46:00";"216";"16";"2";"0";"0";"1840";"0";"0";"787";"221";"67";"0"
"2016-07-31 05:46:00";"119";"10";"1";"0";"0";"279";"0";"0";"294";"159";"157";"0"
"2016-07-31 06:46:00";"111";"10";"1";"0";"0";"70";"0";"0";"619";"37";"37";"0"
"2016-07-31 07:46:00";"125";"7";"2";"0";"0";"195";"0";"0";"332";"364";"79";"0"
"2016-07-31 08:46:00";"188";"10";"1";"0";"0";"469";"0";"0";"922";"417";"393";"0"
"2016-07-31 09:46:00";"121";"7";"2";"0";"0";"114";"0";"0";"244";"495";"56";"0"
"2016-07-31 10:46:00";"127";"10";"1";"0";"0";"311";"0";"0";"341";"260";"102";"0"
"2016-07-31 11:46:00";"147";"10";"1";"0";"0";"513";"0";"0";"606";"103";"125";"0"
"2016-07-31 12:46:00";"118";"10";"2";"0";"0";"146";"0";"0";"323";"123";"271";"0"
"2016-07-31 13:46:00";"147";"10";"1";"0";"0";"126";"0";"0";"679";"434";"118";"0"
"2016-07-31 14:46:00";"133";"10";"3";"0";"0";"230";"0";"0";"404";"273";"198";"0"
"2016-07-31 15:46:00";"99";"10";"1";"0";"0";"49";"0";"0";"345";"113";"105";"0"
"2016-07-31 16:46:00";"148";"7";"1";"0";"0";"365";"0";"0";"235";"608";"164";"0"
"2016-07-31 17:46:00";"201";"6";"1";"0";"0";"829";"0";"0";"438";"179";"1070";"0"
"2016-07-31 18:46:00";"108";"16";"1";"0";"0";"332";"0";"0";"117";"235";"49";"0"
"2016-07-31 19:46:00";"117";"16";"1";"0";"0";"349";"0";"0";"149";"122";"239";"0"
"2016-07-31 20:46:00";"132";"16";"0";"0";"0";"569";"0";"0";"106";"141";"274";"0"
"2016-07-31 21:46:00";"102";"6";"1";"0";"0";"168";"0";"0";"60";"189";"238";"0"
"2016-07-31 22:46:00";"149";"6";"2";"0";"0";"508";"0";"0";"151";"65";"659";"0"
"2016-07-31 23:46:00";"152";"16";"1";"0";"0";"891";"0";"0";"120";"186";"252";"0"
"2016-08-01 00:46:00";"200";"16";"1";"0";"0";"1614";"0";"0";"342";"469";"86";"0"
"2016-08-01 01:46:00";"108";"10";"1";"0";"0";"146";"0";"0";"452";"40";"93";"0"
"2016-08-01 02:46:00";"109";"10";"1";"0";"0";"186";"0";"0";"449";"31";"69";"0"
"2016-08-01 03:46:00";"131";"16";"1";"0";"0";"623";"0";"0";"321";"81";"52";"0"
"2016-08-01 04:46:00";"180";"16";"3";"0";"0";"1580";"0";"0";"195";"61";"190";"0"
"2016-08-01 05:46:00";"133";"16";"1";"0";"0";"658";"0";"0";"179";"209";"57";"0"
"2016-08-01 06:46:00";"141";"16";"3";"0";"0";"589";"0";"0";"293";"235";"116";"0"
"2016-08-01 07:46:00";"189";"16";"2";"0";"0";"1940";"0";"0";"112";"135";"35";"0"
"2016-08-01 08:46:00";"171";"16";"2";"0";"0";"1116";"0";"0";"597";"53";"63";"0"
"2016-08-01 09:46:00";"134";"16";"2";"0";"0";"579";"0";"0";"425";"24";"97";"0"
"2016-08-01 10:46:00";"183";"16";"1";"0";"0";"1225";"0";"0";"780";"45";"32";"0"
"2016-08-01 11:46:00";"159";"16";"5";"0";"0";"1042";"0";"0";"397";"52";"75";"0"
"2016-08-01 12:46:00";"277";"16";"1";"0";"0";"4285";"0";"0";"285";"66";"152";"0"
"2016-08-01 13:46:00";"101";"16";"2";"0";"0";"278";"0";"0";"172";"76";"108";"0"
"2016-08-01 14:46:00";"221";"16";"0";"0";"0";"2614";"0";"0";"210";"41";"180";"0"
"2016-08-01 15:46:00";"157";"16";"1";"0";"0";"832";"0";"0";"187";"113";"407";"0"
"2016-08-01 16:46:00";"159";"16";"0";"0";"0";"659";"0";"0";"485";"105";"340";"0"
"2016-08-01 17:46:00";"111";"7";"5";"0";"0";"276";"0";"0";"137";"294";"58";"0"
"2016-08-01 18:46:00";"176";"16";"1";"0";"0";"1226";"0";"0";"529";"77";"108";"0"
"2016-08-01 19:46:00";"213";"16";"0";"0";"0";"2238";"0";"0";"363";"140";"86";"0"
"2016-08-01 20:46:00";"189";"10";"1";"0";"0";"904";"0";"0";"1161";"76";"82";"0"
"2016-08-01 21:46:00";"158";"10";"1";"0";"0";"426";"0";"0";"802";"104";"236";"0"
"2016-08-01 22:46:00";"207";"16";"1";"0";"0";"1359";"0";"0";"1075";"92";"140";"0"
"2016-08-01 23:46:00";"197";"10";"2";"0";"0";"774";"0";"0";"1428";"95";"115";"0"
"2016-08-02 00:46:00";"110";"10";"1";"0";"0";"121";"0";"0";"269";"221";"141";"0"
"2016-08-02 01:46:00";"131";"10";"3";"0";"0";"182";"0";"0";"733";"80";"68";"0"
"2016-08-02 02:46:00";"188";"10";"2";"0";"0";"336";"0";"0";"1598";"214";"59";"0"
"2016-08-02 03:46:00";"109";"10";"1";"0";"0";"153";"0";"0";"394";"105";"90";"0"
"2016-08-02 04:46:00";"103";"10";"1";"0";"0";"145";"0";"0";"231";"165";"123";"0"
"2016-08-02 05:46:00";"95";"16";"1";"0";"0";"226";"0";"0";"177";"41";"120";"0"
"2016-08-02 06:46:00";"163";"10";"0";"0";"0";"533";"0";"0";"846";"123";"151";"0"
"2016-08-02 07:46:00";"128";"16";"2";"0";"0";"523";"0";"0";"180";"58";"257";"0"
"2016-08-02 08:46:00";"116";"16";"2";"0";"0";"563";"0";"0";"125";"109";"39";"0"
"2016-08-02 09:46:00";"95";"10";"0";"0";"0";"206";"0";"0";"214";"67";"77";"0"
"2016-08-02 10:46:00";"114";"10";"1";"0";"0";"238";"0";"0";"383";"33";"163";"0"
"2016-08-02 11:46:00";"122";"10";"2";"0";"0";"86";"0";"0";"671";"51";"124";"0"
"2016-08-02 12:46:00";"100";"7";"1";"0";"0";"184";"0";"0";"139";"190";"114";"0"
"2016-08-02 13:46:00";"88";"6";"1";"0";"0";"49";"0";"0";"182";"65";"188";"0"
"2016-08-02 14:46:00";"98";"10";"0";"0";"0";"240";"0";"0";"263";"21";"81";"0"
"2016-08-02 15:46:00";"83";"10";"0";"0";"0";"50";"0";"0";"154";"154";"70";"0"
"2016-08-02 16:46:00";"107";"10";"1";"0";"0";"246";"0";"0";"280";"146";"41";"0"
"2016-08-02 17:46:00";"156";"10";"0";"0";"0";"165";"0";"0";"1215";"44";"88";"0"
"2016-08-02 18:46:00";"71";"16";"0";"0";"0";"144";"0";"0";"84";"37";"46";"0"
"2016-08-02 19:46:00";"65";"10";"0";"0";"0";"96";"0";"0";"131";"21";"19";"0"
"2016-08-02 20:46:00";"164";"10";"1";"0";"0";"227";"0";"0";"1229";"212";"18";"0"
"2016-08-02 21:46:00";"108";"10";"1";"0";"0";"215";"0";"0";"381";"117";"21";"0"
"2016-08-02 22:46:00";"104";"16";"1";"0";"0";"272";"0";"0";"202";"101";"100";"0"
"2016-08-02 23:46:00";"118";"10";"2";"0";"0";"203";"0";"0";"553";"40";"67";"0"
"2016-08-03 00:46:00";"99";"10";"1";"0";"0";"235";"0";"0";"308";"51";"17";"0"
"2016-08-03 01:46:00";"131";"10";"0";"0";"0";"253";"0";"0";"743";"46";"23";"0"
"2016-08-03 02:46:00";"134";"10";"1";"0";"0";"129";"0";"0";"861";"115";"21";"0"
"2016-08-03 03:46:00";"111";"10";"1";"0";"0";"125";"0";"0";"349";"212";"87";"0"
"2016-08-03 04:46:00";"134";"10";"1";"0";"0";"352";"0";"0";"636";"79";"58";"0"
"2016-08-03 05:46:00";"128";"16";"1";"0";"0";"675";"0";"0";"296";"33";"15";"0"
"2016-08-03 06:46:00";"177";"10";"0";"0";"0";"203";"0";"0";"1693";"36";"18";"0"
"2016-08-03 07:46:00";"65";"10";"1";"0";"0";"50";"0";"0";"163";"17";"34";"0"
"2016-08-03 08:46:00";"83";"10";"1";"0";"0";"106";"0";"0";"280";"40";"4";"0"
"2016-08-03 09:46:00";"75";"10";"1";"0";"0";"137";"0";"0";"160";"22";"30";"0"
"2016-08-03 10:46:00";"101";"16";"0";"0";"0";"276";"0";"0";"202";"129";"24";"0"
"2016-08-03 11:46:00";"99";"10";"0";"0";"0";"188";"0";"0";"263";"150";"11";"0"
"2016-08-03 12:46:00";"96";"10";"1";"0";"0";"210";"0";"0";"291";"32";"38";"0"
"2016-08-03 13:46:00";"75";"16";"1";"0";"0";"198";"0";"0";"20";"104";"31";"0"
"2016-08-03 14:46:00";"89";"10";"0";"0";"0";"121";"0";"0";"242";"95";"36";"0"
"2016-08-03 15:46:00";"131";"10";"1";"0";"0";"162";"0";"0";"762";"135";"13";"0"
"2016-08-03 16:46:00";"91";"10";"0";"0";"0";"183";"0";"0";"217";"114";"3";"0"
"2016-08-03 17:46:00";"113";"10";"1";"0";"0";"77";"0";"0";"643";"57";"13";"0"
"2016-08-03 18:46:00";"88";"10";"1";"0";"0";"169";"0";"0";"207";"86";"19";"0"
"2016-08-03 19:46:00";"72";"10";"1";"0";"0";"91";"0";"0";"153";"66";"9";"0"
"2016-08-03 20:46:00";"96";"10";"0";"0";"0";"199";"0";"0";"324";"35";"13";"0"
