"Date";"Hs (m)";"Tpeak (s)";"Hrms (m)";"H1/10 (m)";"H1/100 (m)";"Hmax (m)"
"2020-07-29 22:00:00";"0.929581741292341";"13.318879252835220";"0.655871561911818";"1.180568811441273";"1.552401507958209";"1.808220465617387"
"2020-07-29 21:00:00";"0.803868811469999";"13.039076956569060";"0.567174105870499";"1.020913390566899";"1.342460915154899";"1.563683936552761"
"2020-07-29 20:00:00";"1.252050677850729";"12.932095433444890";"0.883391311594681";"1.590104360870426";"2.090924632010718";"2.435486368882776"
"2020-07-29 19:00:00";"1.090254536261068";"13.043336236933800";"0.769235145028643";"1.384623261051557";"1.820725075555984";"2.120760851497268"
"2020-07-29 18:00:00";"1.049304549653281";"12.670827163105560";"0.740342654477593";"1.332616778059667";"1.752338597920979";"2.041105022900616"
"2020-07-29 17:00:00";"1.249472602665836";"12.129404617253950";"0.881572336325340";"1.586830205385612";"2.086619246451946";"2.430471502406651"
"2020-07-29 16:00:00";"1.193393511348373";"12.788512864310880";"0.842005421895796";"1.515609759412433";"1.992967163951782";"2.321386570862612"
"2020-07-29 15:00:00";"1.225032409507316";"13.131988598991450";"0.864328422263495";"1.555791160074291";"2.045804123877218";"2.382930489615846"
"2020-07-29 14:00:00";"1.097965547577725";"11.408571428571430";"0.774675691902061";"1.394416245423710";"1.833602464454800";"2.135760294638223"
"2020-07-29 13:00:00";"1.068720318323721";"11.253170502583370";"0.754041557928403";"1.357274804271126";"1.784762931600614";"2.078872535649710"
"2020-07-29 12:00:00";"1.166747920478431";"11.722282023681380";"0.823205477226448";"1.481769859007607";"1.948469027198979";"2.269555623040301"
"2020-07-29 11:00:00";"1.217701689040454";"11.906371136069970";"0.859156191711876";"1.546481145081377";"2.033561820697559";"2.368670787443264"
"2020-07-29 10:00:00";"1.428089960140542";"13.224773680724220";"1.007596805210271";"1.813674249378489";"2.384910233434705";"2.777917613870977"
"2020-07-29 09:00:00";"1.646338374693570";"13.012165978709540";"1.161583186589352";"2.090849735860834";"2.749385085738262";"3.202453974960306"
"2020-07-29 08:00:00";"1.387850801311405";"11.407485001428440";"0.979205843147492";"1.762570517665485";"2.317710838190047";"2.699644485987765"
"2020-07-29 07:00:00";"1.358090660757696";"8.923569725864123";"0.958208410645708";"1.724775139162274";"2.268011403465352";"2.641755122612302"
"2020-07-29 06:00:00";"1.476294007815210";"9.313481573627740";"1.041607438847398";"1.874893389925316";"2.465410993051400";"2.871684026935148"
"2020-07-29 05:00:00";"1.501418374112837";"11.964642429085100";"1.059334075068502";"1.906801335123303";"2.507368684768438";"2.920555891890111"
"2020-07-29 04:00:00";"1.173879158494507";"12.344394064303380";"0.828236961826680";"1.490826531288024";"1.960378194685826";"2.283427292365400"
"2020-07-29 03:00:00";"1.397305849412425";"13.022067616045220";"0.985876904863211";"1.774578428753780";"2.333500768518750";"2.718036425846537"
"2020-07-29 02:00:00";"1.238115762224817";"11.467547386559450";"0.873559454458621";"1.572407018025517";"2.067653322915444";"2.408380200052054"
"2020-07-29 01:00:00";"0.939327828911159";"10.573748786300640";"0.662747968176207";"1.192946342717172";"1.568677474281636";"1.827178534939562"
"2020-07-29 00:00:00";"1.163687638188033";"9.770002446782478";"0.821046278054890";"1.477883300498803";"1.943358355774016";"2.263602768307623"
"2020-07-28 23:00:00";"1.228621672887880";"11.120497586334940";"0.866860846982004";"1.560349524567608";"2.051798193722760";"2.389912317262552"
"2020-07-28 22:00:00";"1.014962971866552";"12.301293900184840";"0.716112763483623";"1.289002974270521";"1.694988163017142";"1.974303857368660"
"2020-07-28 21:00:00";"1.257174802527533";"11.914660831509850";"0.887006666227759";"1.596611999209967";"2.099481920220980";"2.445453805523786"
"2020-07-28 20:00:00";"1.376940215498713";"11.957476542224000";"0.971507818712981";"1.748714073683366";"2.299490159882851";"2.678421237206053"
"2020-07-28 19:00:00";"1.163136099286903";"12.715210699501110";"0.820657136719092";"1.477182846094366";"1.942437285809127";"2.262529915986726"
"2020-07-28 18:00:00";"0.960431407535572";"11.763723853481290";"0.677637715316764";"1.219747887570176";"1.603920450584404";"1.868229172093188"
"2020-07-28 17:00:00";"1.234989103744057";"12.484627410109430";"0.871353423197196";"1.568436161754952";"2.062431803252575";"2.402298230492232"
"2020-07-28 16:00:00";"1.155696440777619";"12.862665091807150";"0.815408044326431";"1.467734479787576";"1.930013056098624";"2.248058307761086"
"2020-07-28 15:00:00";"1.215860372445159";"12.593566021867120";"0.857857040558529";"1.544142673005352";"2.030486821983415";"2.365089062239985"
"2020-07-28 14:00:00";"1.243299486856997";"12.958675897879700";"0.877216860171326";"1.578990348308387";"2.076310143051185";"2.418463570402038"
"2020-07-28 13:00:00";"1.213207971278332";"11.226804123711340";"0.855985624179712";"1.540774123523482";"2.026057312034815";"2.359929617018723"
"2020-07-28 12:00:00";"1.184706802601475";"13.090372636870290";"0.835876466279930";"1.504577639303874";"1.978460360344464";"2.304489203114016"
"2020-07-28 11:00:00";"1.157724456806088";"11.668614845119810";"0.816838922302073";"1.470310060143731";"1.933399842866166";"2.252003200312632"
"2020-07-28 10:00:00";"1.223119103300263";"11.161945583302280";"0.862978478439630";"1.553361261191334";"2.042608902511440";"2.379208730369827"
"2020-07-28 09:00:00";"1.302663867188608";"11.341601969323990";"0.919101728516407";"1.654383111329532";"2.175448658204975";"2.533939039288807"
"2020-07-28 08:00:00";"1.187738793267168";"12.565823979859430";"0.838015704138502";"1.508428267449303";"1.983523784756170";"2.310387025037286"
