DateTime,recouvrement corr %,der_rec,temps,v_der_rec,Temperature,MMM,dhw,Acute thermal stress,thermal_stress_category,Acute thermal stress plage,thermal_stress_category_plage,phioc,Hauteur,Période,puissance,Hauteur f,Période f,puissance f,Hauteur STL,Période STL,puissance STL
2000-07-28,40.73045041269977,,,,27.0,29.01034482758621,0.7620726325121993,0,0.0,0,0,-4.514386645641571,1.809473888232992,8.40139810376004,13116.117378900191,-0.0958498309721978,-0.9660619354373656,-4.23191330956169,2.0597366069101124,9.265443529221017,18742.981570498257
2000-07-29,40.74103046795496,0.01058005525518979,1.0,0.01058005525518979,26.9,29.01034482758621,0.7620726325121993,0,0.0,0,0,-5.17923254718834,1.8431794585886807,8.150967405675136,13203.63436763176,-0.0569148750994725,-1.1259271396409885,-1.7390455254981043,2.1032055000303145,9.087156970329588,19166.3995395564
2000-07-30,40.74329394302852,0.002263475073561949,1.0,0.002263475073561949,26.6,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.129114111156023,1.750303696151251,8.59758157617781,12558.91769996202,-0.1431356936987538,-0.5966330397694005,-5.828439373249013,1.9460277692283223,9.492035492836472,17139.829971863157
2000-07-31,40.73724083792045,-0.006053105108065893,1.0,-0.006053105108065893,26.7,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.359156582750729,1.5920046617854966,7.808798408868963,9436.73959577882,-0.2882584980999129,-1.296032523703128,-51.3486734805455,1.7710324464511282,8.689852284715409,12996.144132531386
2000-08-01,40.722871152630745,-0.014369685289707945,1.0,-0.014369685289707945,26.8,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.3139972384947165,1.515497721022414,7.987288955488883,8746.998677174344,-0.3456835331999109,-1.014484984523902,-57.803228685379146,1.7867725221153623,8.948005353393125,13621.15248650096
2000-08-02,40.70018488715941,-0.022686265471335787,1.0,-0.022686265471335787,26.9,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.009654136393337,1.605349842318838,9.13229775379172,11221.9552335115,-0.2376439863873859,0.1951386794832235,5.254678010080848,1.8100703427149147,9.812553637803262,15329.289938716576
2000-08-03,40.669220405203504,-0.0309644819559054,1.0,-0.0309644819559054,26.9,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.209976355785367,2.019120545715086,10.93026264401422,21247.321198508445,0.1803254024351628,1.976971567214864,30.652318741313422,1.8409164310480053,10.86503357083872,17556.919183989605
2000-08-04,40.68479103890228,0.01557063369877909,1.0,0.01557063369877909,26.9,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.122938474334685,2.0648437892370493,10.838630110007369,22034.230501238984,0.2178119666276978,1.823700369288505,41.25399846421246,1.9501781555318016,10.880168079692368,19730.28092624348
2000-08-05,40.70033718715689,0.015546148254607317,1.0,0.015546148254607317,26.9,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.419755019060067,2.1615030607462096,10.494209835708554,23378.171646435643,0.3026156622486498,1.4306699351323269,62.46997665372315,1.9523887831768345,10.375473538898287,18857.739163613714
2000-08-06,40.71585884996736,0.01552166281047107,1.0,0.01552166281047107,26.8,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.407789722718732,2.4586317752646125,11.434322163691462,32956.910611698586,0.57764520389399,2.307267650024471,367.0873425733367,2.3268226707869304,11.4283201711474,29502.448540102483
2000-08-07,40.73135602733366,0.015497177366299297,1.0,0.015497177366299297,26.9,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.188747604212029,2.1068355384563486,10.692976989007136,22631.273477137624,0.2057806038333753,1.4985342975883522,30.25691542135834,2.1169087153008643,10.669899319270195,22798.888400236145
2000-08-08,40.74682871925582,0.015472691922155946,1.0,0.015472691922155946,26.8,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.3122603406387205,2.089297515233833,11.283879412052537,23485.948341768133,0.178572141639858,2.0276355577321024,30.82949440758401,2.055064259577736,11.376832523399155,22909.79837540136
2000-08-09,40.762276925733815,0.015448206477998383,1.0,0.015448206477998383,26.7,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.5027401388467445,2.7980417124997348,11.696749602240493,43663.91284234972,0.8594015452472338,2.3532852700445765,828.7354685488118,2.8798027826451627,10.712079455686894,42359.26041835859
2000-08-10,40.777520192118814,0.015243266384999288,1.0,0.015243266384999288,26.7,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.57163708713476,3.069097458645168,12.122608706642133,54446.06983634339,1.077073972403852,2.671620481790803,1477.7974616228648,3.1632660447260244,11.25028734895834,53676.49430719651
2000-08-11,40.78931464266765,0.011794450548833879,1.0,0.011794450548833879,26.7,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.28639986144938,2.3685241031462487,10.96812137536134,29338.435743765272,0.3360386415961617,1.431798029902067,77.0919961170439,2.252105077603028,11.103520561763109,26852.646218634796
2000-08-12,40.7981422814505,0.008827638782854308,1.0,0.008827638782854308,26.6,29.01034482758621,0.7620726325121993,0,0.0,0,0,-2.8413680330119804,2.378429524386045,12.330139221992594,33258.11604884542,0.3250529415150179,2.705057472117352,136.28052157397326,2.186253212790633,11.917122923815668,27159.478706219303
2000-08-13,40.812619408139206,0.014477126688703379,1.0,0.014477126688703379,26.6,29.01034482758621,0.7620726325121993,0,0.0,0,0,-3.297207225886716,2.4287911284018024,11.598594910844453,32623.819520855817,0.3534905517051209,1.8701324378050157,111.42357102673712,2.360054721039196,10.966441934831163,29124.5335456254
