DateTime,salinite
2009-01-01,36.2745
2009-02-01,36.248381249999994
2009-03-01,36.28616590909091
2009-04-01,36.28063127913753
2009-05-01,36.28421475694444
2009-06-01,
2009-07-01,36.3655125
2009-08-01,36.35783958333334
2009-09-01,36.36194166666667
2009-10-01,36.340375
2009-11-01,36.338897959183676
2009-12-01,36.276024166666666
2010-01-01,36.14037916666667
2010-02-01,36.095783035714284
2010-03-01,36.09461666666667
2010-04-01,36.04292341720779
2010-05-01,36.13104583333333
2010-06-01,36.118433333333336
2010-07-01,36.07735729323308
2010-08-01,36.0950288989899
2010-09-01,36.09123612567988
2010-10-01,36.045739454545455
2010-11-01,35.964956406794606
2010-12-01,35.97134474382077
2011-01-01,
2011-02-01,36.15826472107438
2011-03-01,36.23723277777778
2011-04-01,
2011-05-01,
2011-06-01,35.9025
2011-07-01,
2011-08-01,36.31221573412699
2011-09-01,36.34090698924731
2011-10-01,36.400123252688175
2011-11-01,36.32209593333334
2011-12-01,
2012-01-01,36.157386276223775
2012-02-01,36.158875119047615
2012-03-01,36.16007555282555
2012-04-01,36.11881406862745
2012-05-01,36.16792449186992
2012-06-01,36.23447685820469
2012-07-01,36.27885990358127
2012-08-01,36.297840234375
2012-09-01,36.316380978260874
2012-10-01,36.33905944163861
2012-11-01,36.33242654761905
2012-12-01,36.14628896396396
2013-01-01,35.595753
2013-02-01,35.43638994444445
2013-03-01,35.481760772357724
2013-04-01,35.465561494252874
2013-05-01,35.437882208333335
2013-06-01,35.243109410919544
2013-07-01,35.40942658816425
2013-08-01,33.011415918803415
2013-09-01,33.54601630434782
2013-10-01,35.57503489583333
2013-11-01,35.75622455357143
2013-12-01,35.74115344827586
2014-01-01,36.05437864583333
2014-02-01,35.65004285714286
2014-03-01,35.593624632019925
2014-04-01,35.60485448960303
2014-05-01,35.570145662238325
2014-06-01,35.64962093167701
2014-07-01,35.699423491847824
2014-08-01,35.6251125
2014-09-01,35.604875
2014-10-01,35.503479166666665
2014-11-01,35.68402604166667
2014-12-01,35.452097
2015-01-01,35.04440040322581
2015-02-01,35.282663392857145
2015-03-01,35.322287903225806
2015-04-01,35.485867500000005
2015-05-01,35.12972703252032
2015-06-01,35.13796930555556
2015-07-01,35.35311969086022
2015-08-01,35.479224211746626
2015-09-01,35.51153458333333
2015-10-01,35.63323951612903
2015-11-01,35.76531797385621
2015-12-01,35.51708830645161
2016-01-01,35.68205885416666
2016-02-01,35.69372857142857
2016-03-01,35.69521428571428
2016-04-01,35.676257142857146
2016-05-01,35.6350859375
2016-06-01,35.4420755
2016-07-01,35.59821555555556
2016-08-01,35.74134906898657
2016-09-01,35.854425462962965
2016-10-01,35.88712697454844
2016-11-01,35.87033854166666
2016-12-01,35.74901785714286
2017-01-01,36.0889125
2017-02-01,36.07288333333334
2017-03-01,36.06099416666667
2017-04-01,36.05833208333333
2017-05-01,35.94926386607143
2017-06-01,35.95868541666667
2017-07-01,36.03264425975177
2017-08-01,36.05449666666667
2017-09-01,36.04141878968254
2017-10-01,36.14198728918651
2017-11-01,35.94896268115942
2017-12-01,35.771306163194446
2018-01-01,35.34685833333334
2018-02-01,34.82061916666666
2018-03-01,35.15188657407408
2018-04-01,34.39321416666667
2018-05-01,34.30934682539683
2018-06-01,34.05206762820513
2018-07-01,34.41730462962963
2018-08-01,34.34196759259259
2018-09-01,34.55813173076923
2018-10-01,34.4342921875
2018-11-01,34.247612499999995
2018-12-01,34.36568392857143
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,36.06844473684211
2021-05-01,35.69218185483871
2021-06-01,36.33419416666666
2021-07-01,36.08815
2021-08-01,34.17314798387096
2021-09-01,32.57625875
2021-10-01,35.707695161290324
2021-11-01,36.20149
2021-12-01,36.238518145161294
2022-01-01,36.045958870967745
2022-02-01,35.980675
2022-03-01,36.05444193548387
2022-04-01,36.050724583333334
2022-05-01,35.20593306451613
2022-06-01,35.348272083333335
2022-07-01,35.65056916666666
2022-08-01,35.35242916666667
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
2023-01-01,
2023-02-01,
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,36.268025
2023-07-01,36.01096129032258
2023-08-01,36.082752822580645
2023-09-01,36.03655416666666
2023-10-01,36.01011774193549
2023-11-01,35.75073208333333
2023-12-01,35.70870201612903
2024-01-01,35.51378888888889
