DateTime,phioc
1987-01-01,-3.462695192912696
1987-01-02,-3.3279666213461745
1987-01-03,-2.8651343519647163
1987-01-04,-2.6335200870216844
1987-01-05,-4.807801475802555
1987-01-06,-3.0585094782131357
1987-01-07,-2.5415876499527648
1987-01-08,-2.9128837427699117
1987-01-09,-3.141526053928389
1987-01-10,-2.8857398982043043
1987-01-11,-2.6723536164732153
1987-01-12,-2.791231767855436
1987-01-13,-3.0527637008963304
1987-01-14,-3.0816907177326684
1987-01-15,-3.3014171675374797
1987-01-16,-4.037867315350354
1987-01-17,-2.8054971460213025
1987-01-18,-2.6002342046346647
1987-01-19,-2.662447103858028
1987-01-20,-5.056454942443704
1987-01-21,-2.865728742721629
1987-01-22,-2.30957712450513
1987-01-23,-1.9521501493492426
1987-01-24,-2.8389811586606313
1987-01-25,-3.6592404031979697
1987-01-26,-3.1448942682175534
1987-01-27,-2.6230191836495926
1987-01-28,-3.6489376300781786
1987-01-29,-3.480328785367726
1987-01-30,-2.6660134483994944
1987-01-31,-2.652144330738236
1987-02-01,-2.9188276503390242
1987-02-02,-2.846510108248173
1987-02-03,-2.2624221244568488
1987-02-04,-2.2202203807161554
1987-02-05,-1.6488127330722702
1987-02-06,-2.465109372563538
1987-02-07,-3.052565570644024
1987-02-08,-4.780657631236948
1987-02-09,-2.566353931490731
1987-02-10,-2.729216998884379
1987-02-11,-1.9287707795774065
1987-02-12,-2.0829161158696885
1987-02-13,-2.2927360530593126
1987-02-14,-2.2562800866354316
1987-02-15,-2.2756968513611944
1987-02-16,-3.3222208440293683
1987-02-17,-3.0432534487857494
1987-02-18,-5.382577337735604
1987-02-19,-3.521539877846893
1987-02-20,-1.9899930275392503
1987-02-21,-2.667994750922533
1987-02-22,-3.187888532967456
1987-02-23,-3.1510363060389666
1987-02-24,-3.2580266422829673
1987-02-25,-3.0444422302995697
1987-02-26,-3.3000302557713503
1987-02-27,-3.0840682807603153
1987-02-28,-3.6905449830619594
1987-03-01,-3.5774126089965415
1987-03-02,-3.5251062223883616
1987-03-03,-8.164920470836543
1987-03-04,-5.226054438415676
1987-03-05,-2.571505318050626
1987-03-06,-3.5144071887639634
1987-03-07,-2.7852878602863242
1987-03-08,-2.0137686578156972
1987-03-09,-2.363864813636345
1987-03-10,-2.2766875026227127
1987-03-11,-2.935866852037144
1987-03-12,-2.964793868873482
1987-03-13,-3.1843221884259862
1987-03-14,-2.797175675424549
1987-03-15,-2.2550913051216064
1987-03-16,-2.361090990104092
1987-03-17,-2.475015885178722
1987-03-18,-2.1970391411966226
1987-03-19,-2.3307770615016223
1987-03-20,-2.943990192381593
1987-03-21,-3.7048103612278247
1987-03-22,-1.8132608424843457
1987-03-23,-3.327966621346178
1987-03-24,-2.9253659486650485
1987-03-25,-2.558032460893976
1987-03-26,-2.9643976083688757
1987-03-27,-1.723309707938461
1987-03-28,-3.0517730496348143
1987-03-29,-2.968162083162644
1987-03-30,-2.9309135957295447
1987-03-31,-6.013424061070605
1987-04-01,-6.689840742435457
1987-04-02,-5.466584564712375
1987-04-03,-3.7499840587530677
1987-04-04,-3.3808673987112656
1987-04-05,-3.3917645625879693
1987-04-06,-3.2907181339130767
1987-04-07,-3.40305798696928
1987-04-08,-3.0779262429389007
1987-04-09,-2.686420864386779
1987-04-10,-1.6559454221552048
1987-04-11,-6.226215952044783
1987-04-12,-6.723522885327088
1987-04-13,-5.221695572864998
1987-04-14,-2.534653091122138
1987-04-15,-4.146838954117396
1987-04-16,-3.346194604558113
1987-04-17,-3.839538932794344
1987-04-18,-3.437334520617822
1987-04-19,-4.937774921313785
1987-04-20,-14.434752304987315
1987-04-21,-9.002813307828916
1987-04-22,-3.6596366637025795
1987-04-23,-3.535012735003548
1987-04-24,-2.5172176289194113
1987-04-25,-2.7975719359291524
1987-04-26,-2.973907860479452
1987-04-27,-2.316709813588062
1987-04-28,-2.684439561863742
1987-04-29,-3.0458291420657004
1987-04-30,-3.1080420412890626
1987-05-01,-3.305379772583553
1987-05-02,-3.3798767474497473
1987-05-03,-3.5037081551395644
1987-05-04,-3.18590723044442
1987-05-05,-3.2518846044615537
1987-05-06,-3.1548007808327347
1987-05-07,-3.2893312221469535
1987-05-08,-3.0912009698432463
1987-05-09,-2.399131998546404
1987-05-10,-2.5398044776820328
1987-05-11,-3.325192797813923
1987-05-12,-2.1437421033269266
1987-05-13,-4.12425210535477
1987-05-14,-3.222165066615999
1987-05-15,-8.48074009300865
1987-05-16,-3.2378173565479904
1987-05-17,-2.7135647089523816
1987-05-18,-3.0658402975483745
1987-05-19,-3.458138197109708
1987-05-20,-3.300228386023653
1987-05-21,-3.256045339759934
1987-05-22,-3.4325793945625342
1987-05-23,-2.878409078869067
1987-05-24,-2.539011956672821
1987-05-25,-2.103521662109275
1987-05-26,-2.746850591339405
1987-05-27,-4.203702336528555
1987-05-28,-9.222737887886028
1987-05-29,-4.789177232086009
1987-05-30,-3.1167597723904272
1987-05-31,-17.639311005747448
1987-06-01,-4.345959857682618
1987-06-02,-3.1522250875527895
1987-06-03,-2.339494792602988
1987-06-04,-2.504735423024279
1987-06-05,-2.4399468305209666
1987-06-06,-2.579628658395078
1987-06-07,-3.411379457566033
1987-06-08,-4.383010214863408
1987-06-09,-4.369339227454451
1987-06-10,-3.3144937641895247
1987-06-11,-3.469035360986414
1987-06-12,-3.405831810501533
1987-06-13,-3.7927801932506697
1987-06-14,-3.535805256012766
1987-06-15,-4.7247849000873
1987-06-16,-4.304154374446536
1987-06-17,-2.472242061646471
1987-06-18,-2.8215456964579033
