DateTime,Hauteur,Période,puissance,Hauteur f,Période f,puissance f,Hauteur STL,Période STL,puissance STL
1991-02-28,1.5568393729508323,10.498946256536046,12133.39720361802,-0.6935640638988293,-3.170648212360371,-727.2275345207214,1.8474435776186438,10.663283469210734,17353.31343650782
1991-03-01,1.6858321086565684,11.32690574040376,15349.315690533102,-0.5694079437850017,-2.4286786781957628,-375.462176089903,1.8662531036961503,10.665005498888245,17711.333433075364
1991-03-02,1.7755295208247441,11.8265625250285,17777.202381975694,-0.48973168805443235,-2.0449559534683006,-233.85650747049706,1.862348175177802,10.928393782705115,18072.872321477345
1991-03-03,1.9267940629531906,11.941364662952331,21138.4748365785,-0.354128609298961,-2.056134609156766,-122.948337473111,1.7747644237105766,10.255493867509244,15402.35388575651
1991-03-04,1.9936574744161681,12.065131520668826,22865.5809718296,-0.30780270767109025,-2.0580487447678095,-92.97145293265251,1.7516157998755693,10.608184380196146,15519.147359613733
1991-03-05,1.9277127706831099,10.943931453923453,19391.307917919217,-0.3932169581083614,-3.2715548345872607,-241.19470631488585,1.8567288838286509,10.301323608584909,16933.20268777151
1991-03-06,1.988080095772217,10.466679639384898,19725.398040058426,-0.351102485397141,-3.7925397812296517,-222.9189773012181,1.9301451870447126,10.560784354396825,18759.67112556063
1991-03-07,1.9147240259492868,11.066514549757727,19345.159842120604,-0.4413258127192733,-3.23519454635834,-300.44719279574605,1.838404356547465,10.71265487271532,17263.477537921623
1991-03-08,1.893089830115252,10.70946009556774,18300.33800785385,-0.47628258327189016,-3.636741221225301,-393.36062888242225,1.8061134307447517,10.573856789794036,16446.464725664595
1991-03-09,1.9907813707392934,10.405210527185428,19662.878572086687,-0.3930368786706669,-3.963247701440824,-291.92205674064655,1.8903519463841518,10.326806125898306,17595.45293560761
1991-03-10,2.0194738472296865,10.370107434447267,20165.491504542802,-0.38122738600763756,-4.007581655351908,-277.7152009938565,1.9866081427545252,10.433357135586647,19633.4936154402
1991-03-11,1.8432122276140304,10.31331418168257,16706.982712502,-0.5694137104713306,-4.067553553406916,-628.8371764125376,1.9056064214813186,10.26273883783378,17769.646242925013
1991-03-12,1.5319211397837273,9.814108137159135,10981.780196976564,-0.8787087424997042,-4.551642775231553,-1675.7419981923051,1.5991314360046913,9.032109212669724,11013.02414349784
1991-03-13,1.6203638988580582,9.346868216385976,11701.467381820985,-0.7818036510998002,-4.97499453540671,-1449.8967824761478,1.4701587767526467,7.169247480720776,7388.4126596144815
1991-03-14,1.7205407495723668,9.6734180374572,13653.9708602403,-0.6778804552062077,-4.5986619243677325,-1007.5968414000005,1.6019112349966727,9.454667662856963,11568.372165215467
1991-03-15,1.6594295454631383,10.626573999160707,13952.755911819422,-0.7358375323970563,-3.6279999945089227,-936.656257545435,1.7082871031593052,10.375382834336822,14436.933107209821
1991-03-16,1.5991376366802186,10.783372366321474,13148.474890559557,-0.7892620040613219,-3.4805830044522312,-1033.8165407324818,1.7259656885981407,10.411272165554509,14788.264338747838
1991-03-17,1.5101052592120592,10.212257340383447,11104.148975573555,-0.8670695066145333,-4.046485222939376,-1450.5572511532573,1.7954875262010486,10.33863695487114,15891.94887437111
1991-03-18,1.4279186255373661,9.835871144070731,9562.442507131485,-0.9332092375228666,-4.389205064484335,-1822.606938444317,1.7410807756628317,10.114828013960349,14619.934692513836
1991-03-19,1.412770232035449,10.029411658883506,9544.817253925285,-0.9295995870922733,-4.154776912419568,-1711.9404095616537,1.6052330942402842,9.856105332018895,12109.623344659425
1991-03-20,1.5276155543032097,10.55049908650676,11739.51721899407,-0.7986340807822758,-3.609799419158452,-1097.811658840092,1.5076038052943102,9.696103414483586,10508.01727857568
1991-03-21,1.7026362328806914,10.564330888807477,14602.755952676833,-0.6151528139120762,-3.5838304546087145,-646.6400137841365,1.4847621157988304,9.56137279991026,10050.394217749863
1991-03-22,1.695865905393412,10.643606511473736,14595.565221346364,-0.6176682992329463,-3.492052882624988,-635.243933588342,1.46585255851591,10.06163715535023,10308.567520325632
1991-03-23,1.9951966526651745,11.5353297844203,21895.280817929168,-0.3215037989402949,-2.6109679815217364,-128.6834967224935,1.573792133527801,10.39981195983133,12282.006324553473
1991-03-24,2.322630258033502,11.213351105386577,28843.281542817695,-0.013399126449768428,-2.9553825267490357,-0.25299722756274085,1.7805638707175833,10.498685134248305,15870.810796565334
1991-03-25,2.045451336697333,10.194692135223418,20337.68460432689,-0.3102143601107488,-3.956867626154473,-181.56176947508268,1.8307802497899672,10.448184101317867,16697.918740054523
1991-03-26,1.901385623795867,9.562572395978178,16484.061927564508,-0.46160123197593356,-4.524983631068339,-459.7270101762609,1.9395537272485892,10.539376438373875,18904.606194575495
