DateTime,Temperature,MMM,dhw,Acute thermal stress,thermal_stress_category,Acute thermal stress plage,thermal_stress_category_plage
1987-01-01,27.961410602977484,28.37203946301639,0.0,0,0,0,0
1987-01-02,27.900226880937534,28.37203946301639,0.0,0,0,0,0
1987-01-03,27.866849442556326,28.37203946301639,0.0,0,0,0,0
1987-01-04,27.866552502837646,28.37203946301639,0.0,0,0,0,0
1987-01-05,27.898438172632,28.37203946301639,0.0,0,0,0,0
1987-01-06,27.96358109092138,28.37203946301639,0.0,0,0,0,0
1987-01-07,28.060418789185928,28.37203946301639,0.0,0,0,0,0
1987-01-08,28.18896540741227,28.37203946301639,0.0,0,0,0,0
1987-01-09,28.310067322691037,28.37203946301639,0.0,0,0,0,1
1987-01-10,28.396780790546412,28.37203946301639,0.0035344753614318897,0,0,0,1
1987-01-11,28.45877756181615,28.37203946301639,0.01592563233282616,0,0,0,1
1987-01-12,28.504025518952247,28.37203946301639,0.034780783180805894,0,0,0,1
1987-01-13,28.53902905579299,28.37203946301639,0.05863643929174904,0,0,0,1
1987-01-14,28.535974818686327,28.37203946301639,0.08205577581602595,0,0,0,1
1987-01-15,28.486901995173564,28.37203946301639,0.09846470898133676,0,0,0,1
1987-01-16,28.425923302939367,28.37203946301639,0.10616240039890507,0,0,0,1
1987-01-17,28.386698980097012,28.37203946301639,0.10825661712470845,0,0,0,1
1987-01-18,28.40527892249602,28.37203946301639,0.11300511133608435,0,0,0,1
1987-01-19,28.491412650900575,28.37203946301639,0.13005842389096806,0,0,0,1
1987-01-20,28.61232367636016,28.37203946301639,0.16438474008293522,0,0,0,1
1987-01-21,28.730215814679607,28.37203946301639,0.21555279032053778,0,0,0,1
1987-01-22,28.807109061837778,28.37203946301639,0.27770559015216484,0,0,0,1
1987-01-23,28.809350249714672,28.37203946301639,0.34017855968049104,0,0,0,1
1987-01-24,28.72151972291753,28.37203946301639,0.3901043110949399,0,0,0,1
1987-01-25,28.582148944945047,28.37203946301639,0.4201199513704625,0,0,0,1
1987-01-26,28.435347604011596,28.37203946301639,0.429163971512635,0,0,0,1
1987-01-27,28.323698269778305,28.37203946301639,0.429163971512635,0,0,0,1
1987-01-28,28.292844819006117,28.37203946301639,0.429163971512635,0,0,0,1
1987-01-29,28.366832298916922,28.37203946301639,0.429163971512635,0,0,0,1
1987-01-30,28.515224388343455,28.37203946301639,0.449618960845073,0,0,0,1
1987-01-31,28.689294693444694,28.37203946301639,0.4949411366205452,0,0,0,1
1987-02-01,28.8417166790536,28.75842130046026,0.506840476419594,0,0,0,1
1987-02-02,28.925248649922803,28.75842130046026,0.530672954914243,0,0,0,1
1987-02-03,28.91659497812053,28.75842130046026,0.5532691945799958,0,0,0,1
1987-02-04,28.839341161303953,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-05,28.72548598916026,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-06,28.607134301276147,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-07,28.514962798591267,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-08,28.46835033274778,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-09,28.468399822700885,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-10,28.50647880662824,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-11,28.579320947624055,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-12,28.67792614421425,28.75842130046026,0.5648291747005233,0,0,0,1
1987-02-13,28.786245511602086,28.75842130046026,0.5688040620064986,0,0,0,1
1987-02-14,28.884454788567286,28.75842130046026,0.5868088460217881,0,0,0,1
1987-02-15,28.96414068307998,28.75842130046026,0.6161973292531765,0,0,0,1
1987-02-16,29.015829404114655,28.75842130046026,0.6529699154895187,0,0,0,1
1987-02-17,29.03069053003652,28.75842130046026,0.6918655197146987,0,0,0,1
1987-02-18,29.004743654616334,28.75842130046026,0.7270544274512807,0,0,0,1
1987-02-19,28.947299959033376,28.75842130046026,0.7540370929617259,0,0,0,1
1987-02-20,28.869367422859742,28.75842130046026,0.7698865390187949,0,0,0,1
1987-02-21,28.7827317249307,28.75842130046026,0.7733594568002863,0,0,0,1
1987-02-22,28.701264192105825,28.75842130046026,0.7733594568002863,0,0,0,1
1987-02-23,28.65139952934317,28.75842130046026,0.7733594568002863,0,0,0,1
1987-02-24,28.646273784198872,28.75842130046026,0.7733594568002863,0,0,0,1
1987-02-25,28.670057241668545,28.75842130046026,0.7733594568002863,0,0,0,1
1987-02-26,28.708376605368162,28.75842130046026,0.7733594568002863,0,0,0,1
1987-02-27,28.746695969067783,28.75842130046026,0.7733594568002863,0,0,0,1
1987-02-28,28.755264800950457,28.75842130046026,0.7733594568002863,0,0,0,1
1987-03-01,28.738678596662723,29.365990435951538,0.7733594568002863,0,0,0,0
1987-03-02,28.73681211843085,29.365990435951538,0.7733594568002863,0,0,0,0
1987-03-03,28.786295001555203,29.365990435951538,0.7733594568002863,0,0,0,0
1987-03-04,28.921961103037162,29.365990435951538,0.7733594568002863,0,0,0,0
1987-03-05,29.097664576591267,29.365990435951538,0.7733594568002863,0,0,0,0
1987-03-06,29.249160393077545,29.365990435951538,0.7733594568002863,0,0,0,1
1987-03-07,29.379078590004582,29.365990435951538,0.7752291930935782,0,0,0,1
1987-03-08,29.48908061579844,29.365990435951538,0.7928135045002784,0,0,0,1
1987-03-09,29.576677832816628,29.365990435951538,0.8229117040524342,0,0,0,1
1987-03-10,29.600051230674723,29.365990435951538,0.8563489604414605,0,0,0,1
