DateTime,salinite
2009-05-01,36.091293
2009-06-01,36.21809
2009-07-01,36.313644
2009-08-01,36.28226
2009-09-01,36.299397
2009-10-01,36.291084
2009-11-01,36.27944
2009-12-01,36.190617
2010-01-01,36.277225
2010-02-01,35.99119
2010-03-01,35.87135
2010-04-01,35.541092
2010-05-01,35.629303
2010-06-01,35.766003
2010-07-01,35.86608
2010-08-01,35.957657
2010-09-01,36.015827
2010-10-01,36.0624
2010-11-01,36.043945
2010-12-01,36.01664
2011-01-01,36.05448
2011-02-01,36.084736
2011-03-01,36.125057
2011-04-01,36.18447
2011-05-01,36.154255
2011-06-01,36.169422
2011-07-01,36.22818
2011-08-01,36.318737
2011-09-01,36.38059
2011-10-01,36.432938
2011-11-01,36.386433
2011-12-01,36.394115
2012-01-01,36.351982
2012-02-01,36.36275
2012-03-01,36.250893
2012-04-01,36.13115
2012-05-01,36.001305
2012-06-01,36.016262
2012-07-01,36.13458
2012-08-01,36.241673
2012-09-01,36.26232
2012-10-01,36.287334
2012-11-01,36.304146
2012-12-01,36.256065
2013-01-01,35.955082
2013-02-01,35.74012
2013-03-01,35.533325
2013-04-01,35.444744
2013-05-01,35.439777
2013-06-01,35.732117
2013-07-01,35.912598
2013-08-01,36.03453
2013-09-01,36.07184
2013-10-01,36.04309
2013-11-01,36.003304
2013-12-01,35.965
2014-01-01,35.829247
2014-02-01,35.5598
2014-03-01,35.312187
2014-04-01,35.186024
2014-05-01,35.291477
2014-06-01,35.388527
2014-07-01,35.431656
2014-08-01,35.496037
2014-09-01,35.550396
2014-10-01,35.65166
2014-11-01,35.63151
2014-12-01,35.54585
2015-01-01,35.55539
2015-02-01,35.699177
2015-03-01,35.634846
2015-04-01,35.86529
2015-05-01,35.84013
2015-06-01,35.904186
2015-07-01,35.970047
2015-08-01,36.081
2015-09-01,36.18103
2015-10-01,36.2399
2015-11-01,36.25443
2015-12-01,36.304794
2016-01-01,36.205265
2016-02-01,36.07699
2016-03-01,35.74632
2016-04-01,35.628708
2016-05-01,35.415203
2016-06-01,35.57387
2016-07-01,35.757954
2016-08-01,35.865036
2016-09-01,35.94352
2016-10-01,35.979553
2016-11-01,36.018024
2016-12-01,35.96989
2017-01-01,35.883987
2017-02-01,35.66913
2017-03-01,35.65422
2017-04-01,35.523567
2017-05-01,35.616436
2017-06-01,35.720963
2017-07-01,35.804546
2017-08-01,35.933792
2017-09-01,36.045612
2017-10-01,36.143906
2017-11-01,36.165215
2017-12-01,36.167118
2018-01-01,36.024185
2018-02-01,35.78934
2018-03-01,35.69594
2018-04-01,35.64449
2018-05-01,35.66386
2018-06-01,35.781612
2018-07-01,35.894245
2018-08-01,36.019085
2018-09-01,36.05816
2018-10-01,36.13081
2018-11-01,36.274975
2018-12-01,36.316654
2019-01-01,36.181156
2019-02-01,36.073513
2019-03-01,35.894497
2019-04-01,35.90234
2019-05-01,35.962612
2019-06-01,35.9006
2019-07-01,35.966892
2019-08-01,36.108578
2019-09-01,36.155785
2019-10-01,36.22604
2019-11-01,36.255436
2019-12-01,36.223473
2020-01-01,35.986893
2020-02-01,35.96072
2020-03-01,35.782223
2020-04-01,35.78052
2020-05-01,35.83833
2020-06-01,35.89689
2020-07-01,35.959473
2020-08-01,36.02005
2020-09-01,36.083447
2020-10-01,36.135166
2020-11-01,36.138885
2020-12-01,36.156242
2021-01-01,36.214928
2021-02-01,35.97983
2021-03-01,36.029446
2021-04-01,36.027653
2021-05-01,36.052887
2021-06-01,36.04014
2021-07-01,36.06509
2021-08-01,36.191177
2021-09-01,36.310307
2021-10-01,36.337406
2021-11-01,36.340275
2021-12-01,36.415913
2022-01-01,36.196827
2022-02-01,36.06611
2022-03-01,36.063004
2022-04-01,36.069202
2022-05-01,36.085827
2022-06-01,36.162056
2022-07-01,36.18804
2022-08-01,36.210045
2022-09-01,36.23381
2022-10-01,36.275826
2022-11-01,36.16855
2022-12-01,36.067238
2023-01-01,35.995056
2023-02-01,35.971237
2023-03-01,35.91634
2023-04-01,35.92509
2023-05-01,35.887
2023-06-01,35.994854
2023-07-01,36.11363
2023-08-01,36.209198
2023-09-01,36.21319
2023-10-01,36.205265
2023-11-01,36.133816
2023-12-01,36.08594
