DateTime,mpts,mpww,swh,shts,puissance calculée
1987-01-01,10.104434130569551,3.534866592276603,2.012450067070713,1.875143858271046,16940.657811931356
1987-01-02,9.723403963777768,2.7788111960342894,1.8113145028056654,1.7458197376764721,14130.782666207286
1987-01-03,9.710616383533663,2.4595140266776454,1.795737089049879,1.7705872699492098,14515.45193542741
1987-01-04,9.769771861035672,2.6682937995680818,1.7945636406162258,1.7527944354426428,14311.840366110442
1987-01-05,9.897413019711278,2.928637698116575,1.6954171901736055,1.680706230691841,13330.744459679909
1987-01-06,10.142803604265005,3.1386305867653346,1.530855490416119,1.5249698684816242,11246.817061262187
1987-01-07,9.8646258457554,2.5889142681277426,1.625738483205303,1.5882556305956916,11865.075726016217
1987-01-08,11.060860297492992,3.224722621941034,1.935722876964523,1.8459017829815714,17970.29370010367
1987-01-09,11.303483970844237,3.1682410777776884,2.0967694712297194,2.0185667817540107,21960.774696618308
1987-01-10,11.002272745431863,2.6465705333169787,2.024624695335415,1.9910574018454854,20796.921762356513
1987-01-11,10.96071824352292,2.3726938064738086,1.9256762827896576,1.9048227926848378,18962.572819423538
1987-01-12,11.575939720629107,2.99520154123036,2.0069488053848463,1.9434374539954373,20847.139978934123
1987-01-13,12.099401009578509,3.2479935114823464,2.214630637279996,2.125229507070272,26057.01328633647
1987-01-14,11.36344774057123,3.4838647127688382,2.230683261375813,2.113825410956099,24210.147603279835
1987-01-15,9.976340516770922,3.2223455672392154,2.0631104182367106,1.9844189857953975,18732.127305859987
1987-01-16,9.10274730217662,3.123360791294476,1.82379492093011,1.7300148041271692,12990.36084627315
1987-01-17,8.84048357534529,2.408752245736399,1.5577078975944112,1.530796294707673,9877.792885224577
1987-01-18,9.334405671757665,2.4342755385879307,1.5018909029280652,1.4719125984550951,9642.72554483095
1987-01-19,10.1141295974915,2.338327102236863,1.6081129760303954,1.5845637487236464,12108.686511707987
1987-01-20,10.800579764954621,3.0478812179499406,1.6393257101454606,1.6348017802537003,13763.419973651502
1987-01-21,10.855626788348454,3.4853118786084334,1.5755286212307453,1.575054960929843,12840.898684132602
1987-01-22,10.474484517720386,3.1728836846706967,1.511061508576778,1.5097358460831873,11383.706292371362
1987-01-23,9.730044685322989,2.6368742855118286,1.4574069426417862,1.4389250511936151,9605.948885634576
1987-01-24,8.895941646138835,3.3642832666945344,1.6178643943169237,1.4670650744847669,9129.348193048696
1987-01-25,8.572482690622161,4.053735899135392,1.9877255596281889,1.7120960559186902,11981.52118361705
1987-01-26,8.724301246638062,2.580203134484891,1.861248938939945,1.8217126859711552,13805.098444660842
1987-01-27,9.619269599313688,2.673434749049866,1.9140105877361622,1.8565146189665322,15808.40061066993
1987-01-28,9.075828578893775,4.254630288107912,2.074722102954698,1.7545306625493773,13321.627901637548
1987-01-29,8.333252767341756,2.9648633911451077,1.6758714946527198,1.597464989464216,10139.728867144704
1987-01-30,8.307945578786528,2.2167838431217843,1.3332602902082267,1.318919005200436,6890.948198160096
1987-01-31,8.770299167571409,2.551902272017183,1.301551520872524,1.2553752735507433,6590.382754323949
1987-02-01,8.711627453471028,2.7146848924747866,1.2008405173030556,1.1921189936693186,5903.201386394722
1987-02-02,9.266976055852615,3.427066806529346,1.1275249800564668,1.1260204422971665,5602.471814010916
1987-02-03,10.226070496068534,2.8263307259058683,1.258146289401656,1.249809427266335,7616.324937396542
1987-02-04,9.848330055067072,3.0582890831932055,1.3289735893009522,1.3272626305916655,8272.283662612199
1987-02-05,9.552850937824145,2.7692043606197374,1.3219742797521097,1.3099670016543572,7816.32847890732
1987-02-06,9.712904917705032,2.7178545617214973,1.4406946400699856,1.3863430286151575,8901.017041189862
1987-02-07,9.547464567311952,2.9345091994250714,1.6553532100304817,1.5843415571057597,11427.066965171774
1987-02-08,9.64327934587179,2.7561643523838293,1.6753892979011307,1.640463597347493,12373.912261206478
1987-02-09,10.212460821025005,2.3023522898572444,1.7175423494542466,1.698160940842785,14042.265753246422
1987-02-10,10.239254984489756,2.248481061544131,1.5876028870063312,1.5689294128851052,12017.780218465676
1987-02-11,10.802868972422303,2.280296619895211,1.5062674867071182,1.500278037983329,11593.957437719293
1987-02-12,10.806607113557765,2.294099526205019,1.5202366822638171,1.5066867383040745,11697.266464793707
1987-02-13,10.384347983624869,2.254148755197588,1.603979438761129,1.5854465266166875,12446.0493962173
1987-02-14,10.61338723054436,2.2411061171854856,1.6411417740884064,1.628487668762684,13420.603569445151
1987-02-15,10.401094209547278,2.2704031388755057,1.62863072323636,1.6138119661449213,12916.176833984953
1987-02-16,9.979990119441089,2.6906829251515227,1.518145729896867,1.5104793511376498,10856.97370801261
1987-02-17,9.630416019792358,2.9164215987622684,1.4073691882288848,1.4055273630811502,9071.367213895197
1987-02-18,8.743886426468555,3.298329268680154,1.4098533949541248,1.4074922310441618,8259.345052662631
1987-02-19,8.740893961000873,3.0284550612043564,1.4261291811576016,1.4251382686006944,8464.84373896993
1987-02-20,9.40429786893126,2.3132066910982623,1.5620578792679152,1.5478869299961362,10743.701467203717
1987-02-21,10.087032787333596,2.8159830825374477,1.713358160701183,1.6495071186574006,13086.421676298387
1987-02-22,10.402743112220323,2.741424193838456,1.6699264614788345,1.6019845235963917,12729.56596104951
1987-02-23,10.223399529590798,3.08315966559337,1.7664558290225394,1.6859996734308929,13856.686618292217
1987-02-24,10.104555323906075,3.291437151230739,1.9984459394562224,1.91047969607319,17585.355347966823
1987-02-25,10.173269589178286,3.1161612530079745,2.0596293043237326,1.9902495579604118,19214.306541246333
